gene,anomaly_score
VEZF1,0.0005717655
CD27,0.00057143485
TRMT1,0.00057111133
MAP2K1,0.0005708605
PYGO2,0.00057074515
HBP1,0.00057055854
IL26,0.0005702916
ARRB1,0.0005693397
ROGDI,0.0005690831
MAGEF1,0.00056874123
H2BC7,0.0005684398
CHUK,0.00056733965
METTL16,0.0005670906
INTS11,0.0005669436
MZB1,0.00056693534
SYT5,0.0005665363
SON,0.00056641595
TMEM14A,0.0005658617
FOXO3,0.0005658284
EIF6,0.0005657835
MOAP1,0.0005655768
JTB,0.0005655265
PORCN,0.00056524936
AP1G2,0.000565017
DNAJB4,0.0005647733
CSRP2,0.0005646771
SASH3,0.0005645553
MYD88,0.00056409714
CST4,0.0005637043
IDH1,0.00056365645
COASY,0.0005627351
PCYT2,0.00056241703
REV1,0.0005623379
NECAP2,0.00056208554
TTI2,0.0005620417
WDR1,0.00056158646
DYRK1B,0.0005592678
LEFTY2,0.00055906794
EPHA3,0.00055840245
NLGN1,0.00055808184
RHOD,0.00055707747
FBXO9,0.00055623206
LDB2,0.00055621314
SDR39U1,0.00055571285
C1GALT1C1,0.00055531104
NPIPB4,0.00055460783
CRY1,0.0005544512
CKLF-CMTM1,0.00055420445
RUVBL1,0.00055304565
H2BC4,0.0005519821
IL7R,0.00055192516
MFF,0.000551787
FCRL2,0.00055173313
FOSL2,0.0005517306
CLBA1,0.00055129593
HNRNPR,0.0005508467
TUBGCP5,0.0005498008
NME8,0.0005494295
FUS,0.0005494003
HNRNPC,0.0005491147
SERPINF1,0.00054908014
APOD,0.00054907595
EEF2,0.0005485553
IDUA,0.0005480238
EDIL3,0.0005479946
DAZAP1,0.000547983
GSTZ1,0.0005479566
B3GNTL1,0.0005478094
BGN,0.0005470248
MARCKSL1,0.0005456124
DECR2,0.00054559886
TSC22D1,0.00054523966
RBMS2,0.0005452359
JMJD4,0.0005448259
TPMT,0.0005446518
PCK2,0.0005443604
KCNG2,0.0005431071
C5AR2,0.00054297864
BIRC2,0.0005423721
MRPS18C,0.00054213236
BBOF1,0.0005416429
MECP2,0.00054153055
TICAM1,0.00054102833
ZNF544,0.00054033485
SEC62,0.0005391416
RGS5,0.0005391091
DNASE2,0.00053885777
AP3B2,0.0005382781
ASPA,0.00053776125
CCN5,0.00053732324
LTBP2,0.000537092
GPA33,0.0005359018
PNKP,0.0005357041
ABCA3,0.0005356935
GK,0.00053538074
HTR1D,0.00053518824
NECTIN2,0.0005347425
NUDT1,0.00053469976
RNF216,0.0005345115
RECQL5,0.0005345076
TUSC2,0.0005341099
SLC1A4,0.0005338111
NKAIN1,0.0005329711
CCNT1,0.0005329411
ATP5MC1,0.0005323351
BICRA,0.0005321878
PPM1G,0.00053192105
CCDC82,0.0005317805
AZGP1,0.0005317135
PLA2G1B,0.00053141016
SLIT2,0.0005313187
F5,0.0005312394
SPTBN2,0.00053091295
OVOL2,0.0005307197
METTL4,0.0005304784
RPS19,0.0005303249
VEGFD,0.0005300227
HMOX2,0.0005299723
RPS21,0.00052964734
RPS15,0.000529521
PTPN6,0.0005288664
